raw_name,canonical_name,similarity_score,matched_seed
CircuitHub,CircuitHub,38.1,NO
HireArt,HireArt,46.15,NO
Medigram,Medigram,47.06,NO
Rescale,Rescale,66.67,NO
Gusto,Gusto,54.55,NO
Shoptiques,Shoptiques,42.11,NO
CleverDeck,CleverDeck,50.0,NO
Screenleap,Screenleap,44.44,NO
Per Vices,Per Vices,47.06,NO
Medmonk,Medmonk,47.06,NO
Y Combinator,Y Combinator,50.0,NO
Apollo,Apollo,37.5,NO
HackerRank,HackerRank,47.62,NO
OneSignal,OneSignal,46.15,NO
Streak,Streak,53.33,NO
Quartzy,Quartzy,46.15,NO
AgileMD,AgileMD,47.06,NO
Clerky,Clerky,50.0,NO
GoCardless,GoCardless,40.0,NO
Sift,Sift,40.0,NO
LeadGenius,LeadGenius,47.06,NO
MixRank,MixRank,36.36,NO
Videopixie,Videopixie,44.44,NO
Imgix,Imgix,40.0,NO
Vidyard,Vidyard,35.29,NO
SingleStore,SingleStore,52.63,NO
Talkable,Talkable,53.33,NO
Tumult,Tumult,30.77,NO
Acunote,Acunote,47.06,NO
Instapainting,Instapainting,40.0,NO
You Got Listings,You Got Listings,37.5,NO
Tremendous,Tremendous,42.11,NO
Close,Close,54.55,NO
Mino Games,Mino Games,45.45,NO
GOAT Group,GOAT Group,42.11,NO
Zerocater,Zerocater,55.56,NO
Storyworth,Storyworth,42.11,NO
Recurse Center,Recurse Center,40.0,NO
DemandSphere,DemandSphere,45.45,NO
AnyList,AnyList,53.33,NO
Docker,Docker,50.0,NO
inDinero,inDinero,53.33,NO
WorkFlowy,WorkFlowy,42.11,NO
OwnLocal,OwnLocal,50.0,NO
Listia,Listia,50.0,NO
Stripe,Stripe,50.0,NO
Directed Edge,Directed Edge,38.1,NO
Mixpanel,Mixpanel,44.44,NO
Olark,Olark,40.0,NO
RentHop,RentHop,50.0,NO
Lingt,Lingt,42.86,NO
Volantio,Volantio,46.15,NO
Poll Everywhere,Poll Everywhere,38.1,NO
RescueTime,RescueTime,42.11,NO
Ninite,Ninite,50.0,NO
Blue Frog Gaming,Blue Frog Gaming,42.86,NO
Virtualmin,Virtualmin,40.0,NO
Buxfer,Buxfer,33.33,NO
Scribd,Scribd,40.0,NO
Rainforest,Rainforest,47.06,NO
Mth Sense,Mth Sense,44.44,NO
Human Dx,Human Dx,40.0,NO
HealthSherpa,HealthSherpa,43.48,NO
Mattermost,Mattermost,38.1,NO
Zentail,Zentail,42.86,NO
SmartAsset,SmartAsset,41.67,NO
FundersClub,FundersClub,38.1,NO
Eligible,Eligible,35.29,NO
Upwave,Upwave,50.0,NO
OctaveWealth,OctaveWealth,40.0,NO
NewsBlur,NewsBlur,30.0,NO
Submittable,Submittable,42.11,NO
Zapier,Zapier,66.67,NO
BackerKit,BackerKit,50.0,NO
Benchling,Benchling,44.44,NO
Flightfox,Flightfox,34.78,NO
Vastrm,Vastrm,50.0,NO
Double Robotics,Double Robotics,32.0,NO
Plivo,Plivo,46.15,NO
Svbtle,Svbtle,42.86,NO
9gag,9gag,44.44,NO
StyleUp,StyleUp,40.0,NO
CircuitLab,CircuitLab,47.62,NO
BuildZoom,BuildZoom,38.1,NO
Padlet,Padlet,54.55,NO
Fivetran,Fivetran,46.15,NO
Lawdingo,Lawdingo,47.06,NO
Cheetah,Cheetah,61.54,NO
Etleap,Etleap,54.55,NO
InfluxData,InfluxData,47.06,NO
Strikingly,Strikingly,40.0,NO
Lollipuff,Lollipuff,37.5,NO
RADAR,RADAR,30.77,NO
Experiment,Experiment,40.0,NO
SimplyInsured,SimplyInsured,36.36,NO
Wefunder,Wefunder,42.86,NO
Wevorce,Wevorce,53.33,NO
Goldbelly,Goldbelly,42.86,NO
Watsi,Watsi,50.0,NO
7cups,7cups,36.36,NO
Asseta,Asseta,54.55,NO
EasyPost,EasyPost,36.36,NO
"Estimote, Inc.",Estimote,42.86,NO
Cratejoy,Cratejoy,52.63,NO
Panorama Education,Panorama Education,33.33,NO
Lob,Lob,33.33,NO
Reebee,Reebee,40.0,NO
True Link,True Link,37.5,NO
Webflow,Webflow,30.77,NO
42,42,28.57,NO
AirHelp,AirHelp,50.0,NO
Ambition,Ambition,47.62,NO
CareMessage,CareMessage,60.0,NO
AptDeco,AptDeco,50.0,NO
Bellabeat,Bellabeat,47.06,NO
Cambly,Cambly,33.33,NO
Noora Health,Noora Health,34.78,NO
CodeCombat,CodeCombat,58.82,NO
CodeNow,CodeNow,57.14,NO
Flexport,Flexport,46.15,NO
Emailio,Emailio,42.11,NO
MBX,MBX,25.0,NO
One Degree,One Degree,42.11,NO
PiinPoint,PiinPoint,58.82,NO
