schemaVersion,recordType,source.name,source.url,content.startupName,content.productName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/circuithub,CircuitHub,CircuitHub,FREEMIUM,2026-06-24T05:49:01.372688Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hireart,HireArt,HireArt,FREEMIUM,2026-06-24T05:49:01.373032Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/medigram,Medigram,Medigram,FREEMIUM,2026-06-24T05:49:01.373295Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rescale,Rescale,Rescale,FREE,2026-06-24T05:49:01.373566Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/gusto,Gusto,Gusto,FREEMIUM,2026-06-24T05:49:01.373821Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/shoptiques,Shoptiques,Shoptiques,FREEMIUM,2026-06-24T05:49:01.374074Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/cleverdeck,CleverDeck,CleverDeck,FREEMIUM,2026-06-24T05:49:01.374318Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/screenleap-inc,Screenleap,Screenleap,FREEMIUM,2026-06-24T05:49:01.374571Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/per-vices,Per Vices,Per Vices,FREEMIUM,2026-06-24T05:49:01.374831Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/medmonk,Medmonk,Medmonk,FREEMIUM,2026-06-24T05:49:01.375079Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/y-combinator,Y Combinator,Y Combinator,FREEMIUM,2026-06-24T05:49:01.375328Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/apollo,Apollo,Apollo,FREE,2026-06-24T05:49:01.375569Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hackerrank,HackerRank,HackerRank,FREEMIUM,2026-06-24T05:49:01.375814Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/onesignal,OneSignal,OneSignal,FREEMIUM,2026-06-24T05:49:01.376055Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/streak,Streak,Streak,FREEMIUM,2026-06-24T05:49:01.376294Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/quartzy,Quartzy,Quartzy,FREEMIUM,2026-06-24T05:49:01.376540Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/agilemd,AgileMD,AgileMD,FREEMIUM,2026-06-24T05:49:01.376780Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/clerky,Clerky,Clerky,FREEMIUM,2026-06-24T05:49:01.377018Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/gocardless,GoCardless,GoCardless,FREEMIUM,2026-06-24T05:49:01.377277Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/sift,Sift,Sift,FREEMIUM,2026-06-24T05:49:01.377518Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/leadgenius,LeadGenius,LeadGenius,FREEMIUM,2026-06-24T05:49:01.377760Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mixrank,MixRank,MixRank,FREEMIUM,2026-06-24T05:49:01.378001Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/videopixie,Videopixie,Videopixie,FREEMIUM,2026-06-24T05:49:01.378250Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/imgix,Imgix,Imgix,FREE,2026-06-24T05:49:01.378491Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/vidyard,Vidyard,Vidyard,FREEMIUM,2026-06-24T05:49:01.378731Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/singlestore,SingleStore,SingleStore,FREEMIUM,2026-06-24T05:49:01.378983Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/talkable,Talkable,Talkable,FREEMIUM,2026-06-24T05:49:01.379224Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tumult,Tumult,Tumult,FREEMIUM,2026-06-24T05:49:01.379465Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/acunote,Acunote,Acunote,FREEMIUM,2026-06-24T05:49:01.379751Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/instapainting,Instapainting,Instapainting,FREEMIUM,2026-06-24T05:49:01.380077Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/you-got-listings-inc,You Got Listings,You Got Listings,FREEMIUM,2026-06-24T05:49:01.380378Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tremendous,Tremendous,Tremendous,FREEMIUM,2026-06-24T05:49:01.380778Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/close,Close,Close,FREEMIUM,2026-06-24T05:49:01.381038Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mino-games,Mino Games,Mino Games,FREEMIUM,2026-06-24T05:49:01.381350Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/goat-group,GOAT Group,GOAT Group,FREEMIUM,2026-06-24T05:49:01.381608Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zerocater,Zerocater,Zerocater,FREEMIUM,2026-06-24T05:49:01.381861Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/storyworth,Storyworth,Storyworth,FREEMIUM,2026-06-24T05:49:01.382109Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/recurse-center,Recurse Center,Recurse Center,FREEMIUM,2026-06-24T05:49:01.382383Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/demandsphere,DemandSphere,DemandSphere,FREEMIUM,2026-06-24T05:49:01.382626Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/anylist,AnyList,AnyList,FREEMIUM,2026-06-24T05:49:01.382883Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/docker,Docker,Docker,FREEMIUM,2026-06-24T05:49:01.383127Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/indinero,inDinero,inDinero,FREEMIUM,2026-06-24T05:49:01.383376Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/workflowy,WorkFlowy,WorkFlowy,FREEMIUM,2026-06-24T05:49:01.383616Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/ownlocal,OwnLocal,OwnLocal,FREEMIUM,2026-06-24T05:49:01.383855Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/listia,Listia,Listia,FREEMIUM,2026-06-24T05:49:01.384112Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/stripe,Stripe,Stripe,FREEMIUM,2026-06-24T05:49:01.384418Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/directed-edge,Directed Edge,Directed Edge,FREEMIUM,2026-06-24T05:49:01.384680Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mixpanel,Mixpanel,Mixpanel,FREEMIUM,2026-06-24T05:49:01.384954Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/olark,Olark,Olark,FREEMIUM,2026-06-24T05:49:01.385200Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/renthop,RentHop,RentHop,FREEMIUM,2026-06-24T05:49:01.385455Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lingt,Lingt,Lingt,FREEMIUM,2026-06-24T05:49:01.385700Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/volantio,Volantio,Volantio,FREEMIUM,2026-06-24T05:49:01.385951Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/poll-everywhere,Poll Everywhere,Poll Everywhere,FREEMIUM,2026-06-24T05:49:01.386202Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rescuetime,RescueTime,RescueTime,FREEMIUM,2026-06-24T05:49:01.386468Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/ninite,Ninite,Ninite,FREEMIUM,2026-06-24T05:49:01.386825Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/blue-frog-gaming,Blue Frog Gaming,Blue Frog Gaming,FREEMIUM,2026-06-24T05:49:01.387511Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/virtualmin,Virtualmin,Virtualmin,FREEMIUM,2026-06-24T05:49:01.387779Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/buxfer,Buxfer,Buxfer,FREEMIUM,2026-06-24T05:49:01.388050Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/scribd,Scribd,Scribd,FREEMIUM,2026-06-24T05:49:01.388296Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rainforest,Rainforest,Rainforest,FREEMIUM,2026-06-24T05:49:01.388537Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mth-sense,Mth Sense,Mth Sense,FREEMIUM,2026-06-24T05:49:01.388790Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/human-dx,Human Dx,Human Dx,FREEMIUM,2026-06-24T05:49:01.389054Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/healthsherpa,HealthSherpa,HealthSherpa,FREEMIUM,2026-06-24T05:49:01.389293Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mattermost,Mattermost,Mattermost,FREE,2026-06-24T05:49:01.389536Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zentail,Zentail,Zentail,FREEMIUM,2026-06-24T05:49:01.389776Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/smartasset,SmartAsset,SmartAsset,FREEMIUM,2026-06-24T05:49:01.390030Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/fundersclub,FundersClub,FundersClub,FREEMIUM,2026-06-24T05:49:01.390271Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/eligible,Eligible,Eligible,PAID,2026-06-24T05:49:01.390523Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/upwave,Upwave,Upwave,FREEMIUM,2026-06-24T05:49:01.390777Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/octavewealth,OctaveWealth,OctaveWealth,FREEMIUM,2026-06-24T05:49:01.391034Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/newsblur,NewsBlur,NewsBlur,FREEMIUM,2026-06-24T05:49:01.391270Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/submittable,Submittable,Submittable,FREEMIUM,2026-06-24T05:49:01.391511Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zapier,Zapier,Zapier,FREEMIUM,2026-06-24T05:49:01.391755Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/backerkit,BackerKit,BackerKit,FREEMIUM,2026-06-24T05:49:01.392042Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/benchling,Benchling,Benchling,FREEMIUM,2026-06-24T05:49:01.392345Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/flightfox,Flightfox,Flightfox,FREEMIUM,2026-06-24T05:49:01.392589Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/vastrm,Vastrm,Vastrm,FREEMIUM,2026-06-24T05:49:01.392847Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/double-robotics,Double Robotics,Double Robotics,FREEMIUM,2026-06-24T05:49:01.393113Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/plivo,Plivo,Plivo,FREEMIUM,2026-06-24T05:49:01.393472Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/svbtle,Svbtle,Svbtle,FREEMIUM,2026-06-24T05:49:01.393779Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/9gag,9gag,9gag,FREEMIUM,2026-06-24T05:49:01.394057Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/styleup,StyleUp,StyleUp,FREEMIUM,2026-06-24T05:49:01.394325Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/circuitlab,CircuitLab,CircuitLab,FREEMIUM,2026-06-24T05:49:01.394580Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/buildzoom,BuildZoom,BuildZoom,FREEMIUM,2026-06-24T05:49:01.394842Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/padlet,Padlet,Padlet,FREEMIUM,2026-06-24T05:49:01.395109Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/fivetran,Fivetran,Fivetran,FREEMIUM,2026-06-24T05:49:01.395402Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lawdingo,Lawdingo,Lawdingo,FREEMIUM,2026-06-24T05:49:01.395682Z
