schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/circuithub,CircuitHub,58.0,2026-06-24T05:48:59.697556Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hireart,HireArt,90.0,2026-06-24T05:48:59.698064Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/medigram,Medigram,11.0,2026-06-24T05:48:59.698759Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rescale,Rescale,250.0,2026-06-24T05:48:59.699557Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gusto,Gusto,2400.0,2026-06-24T05:48:59.700200Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shoptiques,Shoptiques,51.0,2026-06-24T05:48:59.700799Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cleverdeck,CleverDeck,1.0,2026-06-24T05:48:59.701288Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/screenleap-inc,Screenleap,4.0,2026-06-24T05:48:59.701747Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/per-vices,Per Vices,11.0,2026-06-24T05:48:59.702508Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/medmonk,Medmonk,2.0,2026-06-24T05:48:59.703038Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/y-combinator,Y Combinator,100.0,2026-06-24T05:48:59.703497Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/apollo,Apollo,200.0,2026-06-24T05:48:59.703753Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hackerrank,HackerRank,300.0,2026-06-24T05:48:59.704011Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/onesignal,OneSignal,150.0,2026-06-24T05:48:59.704267Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/streak,Streak,35.0,2026-06-24T05:48:59.704521Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/quartzy,Quartzy,100.0,2026-06-24T05:48:59.704770Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/agilemd,AgileMD,19.0,2026-06-24T05:48:59.705032Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/clerky,Clerky,35.0,2026-06-24T05:48:59.707016Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gocardless,GoCardless,900.0,2026-06-24T05:48:59.707463Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sift,Sift,,2026-06-24T05:48:59.708081Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/leadgenius,LeadGenius,50.0,2026-06-24T05:48:59.708382Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mixrank,MixRank,31.0,2026-06-24T05:48:59.708753Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/videopixie,Videopixie,11.0,2026-06-24T05:48:59.709095Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/imgix,Imgix,34.0,2026-06-24T05:48:59.709370Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/vidyard,Vidyard,201.0,2026-06-24T05:48:59.709649Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/singlestore,SingleStore,150.0,2026-06-24T05:48:59.709910Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/talkable,Talkable,76.0,2026-06-24T05:48:59.710165Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tumult,Tumult,1.0,2026-06-24T05:48:59.710433Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/acunote,Acunote,0.0,2026-06-24T05:48:59.710694Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/instapainting,Instapainting,2.0,2026-06-24T05:48:59.711155Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/you-got-listings-inc,You Got Listings,3.0,2026-06-24T05:48:59.711754Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tremendous,Tremendous,150.0,2026-06-24T05:48:59.712306Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/close,Close,120.0,2026-06-24T05:48:59.712792Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mino-games,Mino Games,11.0,2026-06-24T05:48:59.713405Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/goat-group,GOAT Group,1600.0,2026-06-24T05:48:59.714184Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zerocater,Zerocater,140.0,2026-06-24T05:48:59.714661Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/storyworth,Storyworth,13.0,2026-06-24T05:48:59.715073Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/recurse-center,Recurse Center,7.0,2026-06-24T05:48:59.715683Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/demandsphere,DemandSphere,40.0,2026-06-24T05:48:59.716228Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/anylist,AnyList,3.0,2026-06-24T05:48:59.717389Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/docker,Docker,201.0,2026-06-24T05:48:59.717673Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/indinero,inDinero,250.0,2026-06-24T05:48:59.718652Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/workflowy,WorkFlowy,4.0,2026-06-24T05:48:59.719114Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ownlocal,OwnLocal,45.0,2026-06-24T05:48:59.719583Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/listia,Listia,6.0,2026-06-24T05:48:59.720155Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/stripe,Stripe,7000.0,2026-06-24T05:48:59.720707Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/directed-edge,Directed Edge,2.0,2026-06-24T05:48:59.721254Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mixpanel,Mixpanel,410.0,2026-06-24T05:48:59.721722Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/olark,Olark,28.0,2026-06-24T05:48:59.722084Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/renthop,RentHop,9.0,2026-06-24T05:48:59.722459Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lingt,Lingt,2.0,2026-06-24T05:48:59.722729Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/volantio,Volantio,19.0,2026-06-24T05:48:59.722989Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/poll-everywhere,Poll Everywhere,70.0,2026-06-24T05:48:59.723251Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rescuetime,RescueTime,15.0,2026-06-24T05:48:59.723504Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ninite,Ninite,2.0,2026-06-24T05:48:59.723754Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/blue-frog-gaming,Blue Frog Gaming,11.0,2026-06-24T05:48:59.724166Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/virtualmin,Virtualmin,2.0,2026-06-24T05:48:59.724534Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/buxfer,Buxfer,1.0,2026-06-24T05:48:59.724790Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scribd,Scribd,300.0,2026-06-24T05:48:59.725035Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rainforest,Rainforest,40.0,2026-06-24T05:48:59.725531Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mth-sense,Mth Sense,11.0,2026-06-24T05:48:59.726105Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/human-dx,Human Dx,11.0,2026-06-24T05:48:59.726652Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/healthsherpa,HealthSherpa,220.0,2026-06-24T05:48:59.727132Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mattermost,Mattermost,120.0,2026-06-24T05:48:59.727456Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zentail,Zentail,30.0,2026-06-24T05:48:59.727912Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/smartasset,SmartAsset,210.0,2026-06-24T05:48:59.728400Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/fundersclub,FundersClub,5.0,2026-06-24T05:48:59.728725Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/eligible,Eligible,,2026-06-24T05:48:59.728977Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/upwave,Upwave,50.0,2026-06-24T05:48:59.729253Z
